0	0	1
0	1	2
0	3	5
0	4	4
0	5	1
0	6	3
0	7	1
0	8	1
0	9	3
0	112	4
0	114	2
0	11	4
0	12	2
0	66	3
0	374	3
0	122	2
0	13	2
0	473	3
0	214	2
0	14	3
0	67	3
0	611	2
0	261	4
0	68	2
0	612	5
0	198	5
0	61	3
0	161	2
0	613	4
0	162	2
0	615	1
0	343	2
0	69	3
0	32	5
0	616	4
0	474	4
0	617	3
0	190	5
0	475	3
0	618	3
0	619	2
0	620	1
0	15	3
0	376	3
1	10	5
1	11	4
1	14	5
1	15	5
1	16	3
1	17	4
1	18	5
1	295	3
1	114	5
1	192	5
1	161	5
1	362	5
1	621	5
1	244	5
2	19	4
2	20	4
2	21	4
2	22	3
2	23	4
2	24	4
2	25	5
2	26	4
2	27	5
2	28	5
2	455	5
2	110	5
2	336	5
2	117	5
2	407	4
2	285	3
2	554	5
2	38	5
2	461	3
2	138	3
2	249	4
2	93	5
2	622	3
2	623	4
2	624	5
2	75	5
2	625	5
2	10	5
2	139	2
2	499	5
2	627	3
2	131	5
2	306	3
2	85	5
2	148	4
2	313	5
2	152	1
2	476	5
2	532	5
2	410	3
2	628	5
2	629	3
2	94	4
2	630	4
2	631	5
2	250	3
2	48	4
2	503	5
2	582	3
2	632	3
2	633	5
2	272	5
2	76	5
2	447	5
2	39	4
2	395	5
2	119	5
2	477	5
2	634	4
2	450	2
2	178	5
2	120	3
2	448	5
2	635	5
2	87	5
2	411	5
2	324	4
2	132	5
2	636	5
2	637	3
2	551	5
2	258	5
2	638	3
2	462	3
2	251	5
2	307	1
2	463	4
2	639	4
2	359	5
2	219	5
2	170	5
2	470	5
2	153	3
2	102	5
2	464	5
2	372	3
2	373	5
2	385	3
2	144	4
2	241	5
2	428	5
2	171	3
2	507	4
2	547	4
2	504	5
2	179	5
2	112	3
2	50	4
2	133	4
2	338	5
2	314	4
2	259	4
2	287	5
2	415	5
2	467	5
2	571	4
2	145	5
2	134	5
2	252	5
2	527	5
2	299	4
2	436	3
2	379	5
2	172	5
2	640	2
2	51	3
2	89	5
2	95	5
2	553	5
2	641	4
2	103	5
2	295	4
2	586	5
2	642	1
2	42	3
2	452	5
2	643	4
2	437	4
2	308	4
2	234	1
2	274	5
2	644	5
2	645	3
2	140	4
2	325	3
2	471	3
2	309	3
2	345	3
2	201	5
2	121	5
2	227	5
2	289	4
2	114	4
2	11	1
2	12	4
2	220	5
2	646	4
2	66	3
2	43	3
2	221	3
2	276	4
2	516	3
2	123	5
2	30	4
2	13	4
2	1	1
2	222	4
2	67	5
2	329	3
